Source,Kind,Value
Cisco,IP,92.114.17.93
Cisco,IP,37.143.130.119
Cisco,IP,185.58.241.225
Cisco,IP,89.46.223.41
Cisco,IP,157.90.149.130
Cisco,IP,51.254.115.1
Cisco,IP,128.140.14.45
Cisco,IP,185.49.231.98
Cisco,IP,51.38.48.142
Cisco,IP,106.14.94.65
Cisco,IP,193.176.31.135
Cisco,IP,183.6.58.200
Cisco,IP,217.146.89.8
Cisco,IP,193.149.187.150
Cisco,IP,193.70.1.151
Cisco,IP,77.247.179.103
Cisco,IP,217.146.89.25
Cisco,IP,185.107.80.192
Cisco,IP,185.107.44.51
Cisco,IP,51.77.158.11
Cisco,IP,217.146.89.26
Cisco,IP,65.109.10.120
Cisco,IP,149.248.78.155
Cisco,IP,89.21.64.80
Cisco,IP,212.92.104.116
Cisco,IP,185.49.231.35
Cisco,IP,39.105.181.81
Cisco,IP,54.38.60.114
Cisco,IP,52.68.255.94
Cisco,IP,91.107.214.185
Cisco,IP,212.92.104.5
Cisco,IP,206.237.0.252
Cisco,IP,193.149.189.70
Cisco,IP,47.129.29.246
Cisco,IP,37.143.130.18
Cisco,IP,193.149.187.101
Cisco,IP,39.101.64.69
Cisco,IP,193.149.185.105
Cisco,IP,194.60.231.180
Cisco,IP,185.187.51.217
Cisco,IP,5.255.104.232
Cisco,IP,13.213.38.186
Cisco,IP,65.108.49.215
Cisco,IP,193.149.180.96
Cisco,IP,149.202.40.16
Cisco,IP,65.108.145.222
Cisco,IP,51.38.225.147
Cisco,IP,87.107.162.51
Cisco,IP,149.248.78.4
Cisco,IP,193.149.189.43
Cisco,IP,101.201.148.184
Cisco,IP,92.114.17.97
Cisco,IP,206.166.251.87
Cisco,IP,180.178.42.44
Cisco,IP,49.77.174.37
Cisco,IP,193.149.187.36
Cisco,IP,193.149.189.192
Cisco,IP,109.201.134.237
Cisco,IP,89.46.223.205
Cisco,IP,45.61.139.81
Cisco,IP,103.246.218.50
Cisco,IP,92.114.17.66
Cisco,IP,148.66.1.66
Cisco,IP,62.60.211.187
Cisco,IP,185.107.69.24
Cisco,IP,128.140.37.79
Cisco,IP,111.231.120.206
Cisco,IP,185.107.69.17
Cisco,IP,162.19.153.211
Cisco,IP,87.236.214.5
Cisco,IP,119.3.207.221
Cisco,IP,51.38.128.196
Cisco,IP,45.138.135.161
Cisco,IP,154.221.0.247
Cisco,IP,185.49.231.95
Cisco,IP,51.38.49.63
Cisco,IP,113.108.123.46
Cisco,IP,193.149.180.229
Cisco,IP,206.71.148.43
Cisco,IP,45.61.138.44
Cisco,IP,212.92.104.8
Cisco,IP,212.92.104.3
Cisco,IP,212.92.104.123
Cisco,IP,223.26.52.200
Cisco,IP,38.147.191.45
Cisco,IP,151.236.21.251
Cisco,IP,65.21.158.176
Cisco,IP,51.38.224.235
Cisco,IP,167.235.193.196
Cisco,IP,192.119.97.65
Cisco,IP,65.109.142.153
Cisco,IP,193.151.153.51
Cisco,IP,185.107.44.100
Cisco,IP,206.71.148.172
Cisco,IP,184.174.96.188
Cisco,IP,149.248.76.224
Cisco,IP,193.42.40.252
Cisco,IP,5.160.219.88
Cisco,IP,87.107.162.87
Cisco,IP,103.151.28.36
Cisco,IP,45.77.15.193
Cisco,IP,51.75.120.56
Cisco,IP,149.248.76.108
Cisco,IP,37.235.50.97
Cisco,IP,2.189.243.107
Cisco,IP,140.238.18.111
Cisco,IP,92.222.22.95
Cisco,IP,149.248.77.7
Cisco,IP,43.247.70.177
Cisco,IP,188.213.68.20
Cisco,IP,193.149.185.9
Cisco,IP,5.255.116.58
Cisco,IP,58.34.100.195
Cisco,IP,148.66.1.69
Cisco,IP,69.172.75.137
Cisco,IP,92.114.17.69
Cisco,IP,46.245.85.30
Cisco,IP,35.74.62.97
Cisco,IP,103.149.200.104
Cisco,IP,37.187.55.193
Cisco,IP,103.6.6.241
Cisco,IP,92.114.17.98
Cisco,IP,109.201.134.236
Cisco,IP,183.131.240.74
Cisco,IP,146.59.59.216
Cisco,IP,45.90.58.176
Cisco,IP,217.146.89.18
Cisco,IP,150.109.197.61
Cisco,IP,115.231.57.114
Cisco,IP,57.129.6.76
Cisco,IP,136.244.113.191
Cisco,IP,65.109.173.206
Cisco,IP,121.18.33.202
Cisco,IP,89.21.64.71
Cisco,IP,45.92.94.84
Cisco,IP,77.247.179.98
Cisco,IP,168.119.226.40
Cisco,IP,212.92.104.6
Cisco,IP,104.168.96.175
Cisco,IP,5.255.113.111
Cisco,IP,45.138.135.110
Cisco,IP,92.114.17.72
Cisco,IP,195.201.99.54
Cisco,IP,146.59.17.71
Cisco,IP,16.171.143.7
Cisco,IP,51.38.226.93
Cisco,IP,70.34.199.164
Cisco,IP,49.233.45.129
Cisco,IP,206.71.148.161
Cisco,IP,185.107.44.32
Cisco,IP,195.85.115.123
Cisco,IP,185.187.51.210
Cisco,IP,147.78.3.188
Cisco,IP,195.85.115.165
Cisco,IP,146.59.195.185
Cisco,IP,5.57.37.29
Cisco,IP,51.38.227.49
Cisco,IP,5.57.37.61
Cisco,IP,146.59.83.215
Cisco,IP,65.108.50.42
Cisco,IP,80.154.84.238
Cisco,IP,51.38.49.136
Cisco,IP,65.21.181.89
Cisco,IP,193.149.180.89
Cisco,IP,65.21.49.110
Cisco,IP,89.46.223.82
Cisco,IP,193.149.187.198
Cisco,IP,154.221.0.92
Cisco,IP,212.92.104.10
Cisco,IP,83.147.17.240
Cisco,IP,158.101.148.157
Cisco,IP,145.239.93.194
Cisco,IP,92.114.17.75
Cisco,IP,149.248.78.107
Cisco,IP,185.49.231.51
Cisco,IP,188.213.68.21
Cisco,IP,51.77.220.141
Cisco,IP,217.182.253.25
Cisco,IP,185.89.22.35
Cisco,IP,51.38.134.223
Cisco,IP,135.181.199.191
Cisco,IP,193.149.189.58
Cisco,IP,51.38.131.193
Cisco,IP,217.146.80.86
Cisco,IP,185.107.44.84
Cisco,IP,5.57.37.26
Cisco,IP,51.38.236.100
Cisco,IP,175.24.163.224
Cisco,IP,112.121.173.125
Cisco,IP,192.227.177.206
Cisco,IP,193.149.190.195
Cisco,IP,212.92.104.115
Cisco,IP,193.149.189.164
Cisco,IP,137.220.33.18
Cisco,IP,45.77.19.249
Cisco,IP,192.36.57.181
Cisco,IP,185.167.60.85
Cisco,IP,185.227.111.17
Cisco,IP,176.31.18.153
Cisco,IP,172.105.90.154
Cisco,IP,185.244.210.120
Cisco,IP,45.86.163.224
Cisco,IP,172.105.94.93
Cisco,IP,213.156.138.77
Cisco,IP,89.44.198.189
Cisco,IP,45.77.52.253
Cisco,IP,103.114.200.230
Cisco,IP,212.193.2.48
Cisco,IP,51.15.145.37
Cisco,IP,89.44.198.196
Cisco,IP,131.196.252.148
Cisco,IP,213.156.138.78
Cisco,IP,121.227.168.69
Cisco,IP,213.156.138.68
Cisco,IP,194.4.49.6
Cisco,IP,185.244.210.65
Cisco,IP,216.238.75.155
Cisco,IP,4.157.42.62
Cisco,IP,5.183.95.95
Cisco,IP,40.88.54.192
Cisco,IP,45.63.119.131
Cisco,IP,45.76.118.87
Cisco,IP,45.77.54.14
Cisco,IP,45.86.163.244
Cisco,IP,45.128.134.189
Cisco,IP,45.154.138.39
Cisco,IP,47.154.86.24
Cisco,IP,52.188.53.135
Cisco,IP,67.216.143.42
Cisco,IP,89.44.198.16
Cisco,IP,96.44.159.46
Cisco,IP,103.20.222.218
Cisco,IP,103.27.132.69
Cisco,IP,103.51.140.101
Cisco,IP,103.119.3.230
Cisco,IP,103.125.218.198
Cisco,IP,104.156.232.22
Cisco,IP,107.148.19.88
Cisco,IP,107.172.16.208
Cisco,IP,107.173.140.111
Cisco,IP,121.37.174.139
Cisco,IP,139.162.135.12
Cisco,IP,149.28.166.244
Cisco,IP,152.70.83.47
Cisco,IP,154.39.142.47
Cisco,IP,162.33.179.114
Cisco,IP,172.233.245.241
Cisco,IP,185.123.101.250
Cisco,IP,192.210.137.35
Cisco,IP,193.149.187.213
Cisco,IP,194.32.78.183
Cisco,IP,205.234.232.196
Cisco,IP,206.188.196.78
Cisco,IP,207.148.74.250
Cisco,IP,216.155.157.136
Cisco,IP,216.238.66.251
Cisco,IP,216.238.71.49
Cisco,IP,216.238.72.201
Cisco,IP,216.238.74.95
Cisco,IP,216.238.81.149
Cisco,IP,216.238.85.220
Cisco,IP,216.238.86.24
